## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.0304e+00   1.0311e+00   3.0480e-02   7.5773e-06   1.6730e-07   7.0288e-08  -3.5156e-08   1.8992e-08   1.8992e-08   2.0181e+05   2.0181e+05
  1.0940e+00   1.0948e+00   9.0389e-02   7.3854e-06   3.5900e-07  -2.0456e-08   1.5109e-08   1.7948e-08   1.7948e-08   2.2597e+05   2.2597e+05
  1.1616e+00   1.1623e+00   1.5029e-01   7.1456e-06   2.6500e-07  -1.3585e-08  -5.0992e-08   1.6930e-08   1.6930e-08   2.5396e+05   2.5396e+05
  1.2333e+00   1.2342e+00   2.1029e-01   7.0705e-06   2.1739e-07  -4.6803e-08  -8.8672e-08   1.6049e-08   1.6049e-08   2.8261e+05   2.8261e+05
  1.3095e+00   1.3104e+00   2.7017e-01   6.8516e-06   3.4166e-07   6.9887e-08  -8.9427e-08   1.5142e-08   1.5142e-08   3.1746e+05   3.1746e+05
  1.3903e+00   1.3914e+00   3.3014e-01   6.6381e-06   2.9299e-07  -3.1259e-08  -1.4264e-08   1.4349e-08   1.4349e-08   3.5354e+05   3.5354e+05
  1.4762e+00   1.4772e+00   3.8999e-01   6.6007e-06   2.7230e-07  -4.1688e-08  -2.6885e-08   1.3533e-08   1.3533e-08   3.9745e+05   3.9745e+05
  1.5673e+00   1.5685e+00   4.4994e-01   6.4226e-06   4.2499e-07   3.8314e-08  -1.7152e-09   1.2785e-08   1.2785e-08   4.4530e+05   4.4530e+05
  1.6641e+00   1.6653e+00   5.0986e-01   6.1950e-06   3.8698e-07  -3.3296e-08  -1.5326e-08   1.2085e-08   1.2085e-08   4.9845e+05   4.9845e+05
  1.7668e+00   1.7681e+00   5.6978e-01   6.0797e-06   4.1365e-07  -1.5426e-08   2.0276e-08   1.1415e-08   1.1415e-08   5.5868e+05   5.5868e+05
  1.8759e+00   1.8773e+00   6.2968e-01   5.9188e-06   3.9799e-07  -5.6816e-08   3.7375e-08   1.0781e-08   1.0781e-08   6.2632e+05   6.2632e+05
  1.9918e+00   1.9932e+00   6.8960e-01   5.6486e-06   3.2749e-07  -1.3213e-09  -1.2552e-08   1.0186e-08   1.0186e-08   7.0152e+05   7.0152e+05
  2.1147e+00   2.1163e+00   7.4952e-01   5.5759e-06   4.5512e-07  -7.2924e-08   2.0732e-08   9.6149e-09   9.6149e-09   7.8739e+05   7.8739e+05
  2.2453e+00   2.2470e+00   8.0945e-01   5.3360e-06   4.3225e-07  -1.4452e-08   3.6375e-09   9.0858e-09   9.0858e-09   8.8178e+05   8.8178e+05
  2.3840e+00   2.3858e+00   8.6938e-01   5.1215e-06   4.7954e-07  -1.0764e-07  -4.7004e-10   8.5849e-09   8.5849e-09   9.8768e+05   9.8768e+05
  2.5312e+00   2.5330e+00   9.2927e-01   4.9862e-06   4.6355e-07  -4.0627e-08   7.0161e-09   8.1044e-09   8.1044e-09   1.1083e+06   1.1083e+06
  2.6874e+00   2.6893e+00   9.8913e-01   4.7725e-06   4.8040e-07  -7.5268e-08  -2.4574e-08   7.6448e-09   7.6448e-09   1.2455e+06   1.2455e+06
  2.8534e+00   2.8554e+00   1.0491e+00   4.5937e-06   5.1141e-07  -1.7785e-08  -6.9625e-09   7.2337e-09   7.2337e-09   1.3911e+06   1.3911e+06
  3.0296e+00   3.0318e+00   1.1090e+00   4.4180e-06   4.8275e-07  -5.5107e-08  -3.5058e-08   6.8224e-09   6.8224e-09   1.5639e+06   1.5639e+06
  3.2166e+00   3.2188e+00   1.1689e+00   4.2652e-06   4.9947e-07  -2.6599e-08  -2.8245e-08   6.4551e-09   6.4551e-09   1.7469e+06   1.7469e+06
  3.4152e+00   3.4177e+00   1.2288e+00   4.1436e-06   5.3939e-07  -4.1661e-08  -1.1306e-08   6.0974e-09   6.0974e-09   1.9579e+06   1.9579e+06
  3.6261e+00   3.6287e+00   1.2887e+00   3.9634e-06   5.5408e-07  -3.1798e-08  -2.1775e-08   5.7567e-09   5.7567e-09   2.1965e+06   2.1965e+06
  3.8500e+00   3.8528e+00   1.3487e+00   3.8160e-06   5.4664e-07  -2.0539e-08  -2.8525e-08   5.4340e-09   5.4340e-09   2.4651e+06   2.4651e+06
  4.0877e+00   4.0907e+00   1.4086e+00   3.6623e-06   6.1903e-07  -3.9608e-08  -1.1773e-08   5.1321e-09   5.1321e-09   2.7637e+06   2.7637e+06
  4.3401e+00   4.3432e+00   1.4685e+00   3.5118e-06   6.0859e-07  -3.1607e-08  -2.4614e-09   4.8455e-09   4.8455e-09   3.1002e+06   3.1002e+06
  4.6081e+00   4.6115e+00   1.5284e+00   3.4219e-06   5.9051e-07  -5.9152e-08  -9.3065e-09   4.5777e-09   4.5777e-09   3.4736e+06   3.4736e+06
  4.8927e+00   4.8963e+00   1.5883e+00   3.3006e-06   6.1957e-07  -8.0386e-08  -1.9359e-08   4.3227e-09   4.3227e-09   3.8957e+06   3.8957e+06
  5.1948e+00   5.1985e+00   1.6482e+00   3.1700e-06   6.2696e-07  -8.9784e-08   1.8444e-08   4.0806e-09   4.0806e-09   4.3715e+06   4.3715e+06
  5.5155e+00   5.5195e+00   1.7081e+00   3.0415e-06   6.1888e-07  -1.0158e-07  -3.2752e-09   3.8541e-09   3.8541e-09   4.9005e+06   4.9005e+06
  5.8561e+00   5.8603e+00   1.7681e+00   2.9167e-06   5.8299e-07  -1.3207e-07  -9.8531e-09   3.6343e-09   3.6343e-09   5.5111e+06   5.5111e+06
  6.2177e+00   6.2221e+00   1.8280e+00   2.7882e-06   5.7656e-07  -1.3462e-07  -9.1814e-09   3.4345e-09   3.4345e-09   6.1711e+06   6.1711e+06
  6.6016e+00   6.6063e+00   1.8879e+00   2.6619e-06   6.1136e-07  -1.3622e-07  -8.8907e-09   3.2398e-09   3.2398e-09   6.9348e+06   6.9348e+06
  7.0092e+00   7.0142e+00   1.9478e+00   2.5480e-06   6.0309e-07  -1.3216e-07  -1.0242e-08   3.0595e-09   3.0595e-09   7.7766e+06   7.7766e+06
  7.4420e+00   7.4475e+00   2.0077e+00   2.4248e-06   5.8605e-07  -1.3210e-07   2.0930e-08   2.8894e-09   2.8894e-09   8.7188e+06   8.7188e+06
  7.9015e+00   7.9073e+00   2.0676e+00   2.2905e-06   5.7371e-07  -1.3936e-07  -6.0544e-09   2.7256e-09   2.7256e-09   9.7981e+06   9.7981e+06
  8.3894e+00   8.3956e+00   2.1276e+00   2.1693e-06   5.6170e-07  -1.6358e-07   1.7442e-09   2.5721e-09   2.5721e-09   1.1003e+07   1.1003e+07
  8.9074e+00   8.9139e+00   2.1875e+00   2.0564e-06   5.7040e-07  -1.7844e-07  -8.5703e-09   2.4256e-09   2.4256e-09   1.2372e+07   1.2372e+07
  9.4574e+00   9.4643e+00   2.2474e+00   1.9533e-06   5.6650e-07  -1.9011e-07  -1.4923e-08   2.2901e-09   2.2901e-09   1.3879e+07   1.3879e+07
  1.0041e+01   1.0049e+01   2.3073e+00   1.8497e-06   5.7305e-07  -1.8918e-07  -8.9164e-09   2.1624e-09   2.1624e-09   1.5568e+07   1.5568e+07
  1.0661e+01   1.0669e+01   2.3672e+00   1.7157e-06   5.5154e-07  -2.1500e-07  -1.7476e-08   2.0408e-09   2.0408e-09   1.7477e+07   1.7477e+07
  1.1320e+01   1.1328e+01   2.4271e+00   1.6050e-06   5.4819e-07  -2.2528e-07  -2.6013e-08   1.9260e-09   1.9260e-09   1.9623e+07   1.9623e+07
  1.2019e+01   1.2027e+01   2.4870e+00   1.5127e-06   5.4107e-07  -2.2783e-07  -2.5329e-08   1.8179e-09   1.8179e-09   2.2026e+07   2.2026e+07
  1.2761e+01   1.2770e+01   2.5469e+00   1.4138e-06   5.4898e-07  -2.2143e-07  -8.4004e-09   1.7168e-09   1.7168e-09   2.4696e+07   2.4696e+07
  1.3549e+01   1.3558e+01   2.6069e+00   1.3094e-06   5.4653e-07  -2.2171e-07  -6.5609e-09   1.6199e-09   1.6199e-09   2.7739e+07   2.7739e+07
  1.4385e+01   1.4396e+01   2.6668e+00   1.2114e-06   5.3425e-07  -2.0690e-07  -2.1902e-08   1.5295e-09   1.5295e-09   3.1116e+07   3.1116e+07
  1.5273e+01   1.5285e+01   2.7267e+00   1.1215e-06   5.2799e-07  -2.0080e-07  -2.0862e-08   1.4448e-09   1.4448e-09   3.4873e+07   3.4873e+07
  1.6217e+01   1.6228e+01   2.7866e+00   1.0362e-06   5.3819e-07  -1.8689e-07  -2.2966e-08   1.3640e-09   1.3640e-09   3.9122e+07   3.9122e+07
  1.7218e+01   1.7230e+01   2.8465e+00   9.5403e-07   5.5269e-07  -1.7246e-07  -2.4193e-08   1.2877e-09   1.2877e-09   4.3901e+07   4.3901e+07
  1.8281e+01   1.8294e+01   2.9064e+00   8.9593e-07   5.4486e-07  -1.6588e-07  -1.4783e-08   1.2161e-09   1.2161e-09   4.9217e+07   4.9217e+07
  1.9410e+01   1.9424e+01   2.9664e+00   8.1704e-07   5.4662e-07  -1.6387e-07  -1.4998e-08   1.1483e-09   1.1483e-09   5.5208e+07   5.5208e+07
  2.0608e+01   2.0623e+01   3.0263e+00   7.4722e-07   5.3650e-07  -1.3068e-07  -1.2271e-08   1.0849e-09   1.0849e-09   6.1843e+07   6.1843e+07
  2.1881e+01   2.1896e+01   3.0862e+00   6.8584e-07   5.3367e-07  -1.2161e-07  -9.6260e-09   1.0243e-09   1.0243e-09   6.9378e+07   6.9378e+07
  2.3232e+01   2.3248e+01   3.1461e+00   6.5613e-07   5.3971e-07  -1.1500e-07  -1.1327e-08   9.6761e-10   9.6761e-10   7.7746e+07   7.7746e+07
  2.4666e+01   2.4684e+01   3.2060e+00   6.1329e-07   5.2208e-07  -1.3051e-07  -2.6791e-08   9.1374e-10   9.1374e-10   8.7185e+07   8.7185e+07
  2.6189e+01   2.6208e+01   3.2659e+00   5.6201e-07   5.1283e-07  -1.3675e-07  -2.9273e-08   8.6386e-10   8.6386e-10   9.7542e+07   9.7542e+07
  2.7806e+01   2.7826e+01   3.3258e+00   5.1921e-07   5.0504e-07  -1.4315e-07  -2.9351e-08   8.1635e-10   8.1635e-10   1.0923e+08   1.0923e+08
  2.9523e+01   2.9544e+01   3.3857e+00   4.8566e-07   4.9595e-07  -1.4638e-07  -2.9481e-08   7.7191e-10   7.7191e-10   1.2217e+08   1.2217e+08
  3.1346e+01   3.1368e+01   3.4456e+00   4.4595e-07   4.8211e-07  -1.4267e-07  -3.6539e-08   7.2968e-10   7.2968e-10   1.3671e+08   1.3671e+08
  3.3282e+01   3.3305e+01   3.5056e+00   3.9786e-07   4.5177e-07  -1.3380e-07  -4.3994e-08   6.8990e-10   6.8990e-10   1.5294e+08   1.5294e+08
  3.5337e+01   3.5362e+01   3.5655e+00   3.5119e-07   4.2935e-07  -1.2566e-07  -4.9276e-08   6.5274e-10   6.5274e-10   1.7084e+08   1.7084e+08
  3.7519e+01   3.7545e+01   3.6254e+00   3.1155e-07   4.1767e-07  -1.2290e-07  -4.8203e-08   6.1778e-10   6.1778e-10   1.9073e+08   1.9073e+08
  3.9835e+01   3.9863e+01   3.6853e+00   2.7363e-07   4.0324e-07  -1.1710e-07  -4.8154e-08   5.8488e-10   5.8488e-10   2.1279e+08   2.1279e+08
  4.2295e+01   4.2325e+01   3.7452e+00   2.4754e-07   3.9543e-07  -1.0568e-07  -3.7157e-08   5.5378e-10   5.5378e-10   2.3736e+08   2.3736e+08
  4.4906e+01   4.4937e+01   3.8051e+00   2.1530e-07   3.7438e-07  -1.0109e-07  -2.3648e-08   5.2453e-10   5.2453e-10   2.6457e+08   2.6457e+08
  4.7679e+01   4.7713e+01   3.8650e+00   1.7426e-07   3.4733e-07  -9.3221e-08  -2.3460e-08   4.9688e-10   4.9688e-10   2.9484e+08   2.9484e+08
  5.0623e+01   5.0659e+01   3.9250e+00   1.3088e-07   3.1917e-07  -9.2208e-08  -2.3744e-08   4.7076e-10   4.7076e-10   3.2847e+08   3.2847e+08
  5.3749e+01   5.3786e+01   3.9849e+00   8.1402e-08   2.9591e-07  -9.3224e-08  -2.8148e-08   4.4620e-10   4.4620e-10   3.6562e+08   3.6562e+08
  5.7068e+01   5.7107e+01   4.0448e+00   6.3957e-08   3.0757e-07  -8.2504e-08  -2.2585e-08   4.2329e-10   4.2329e-10   4.0626e+08   4.0626e+08
  6.0591e+01   6.0632e+01   4.1047e+00   3.0483e-08   3.0631e-07  -6.9816e-08  -2.3616e-08   4.0138e-10   4.0138e-10   4.5182e+08   4.5182e+08
  6.4333e+01   6.4377e+01   4.1646e+00   5.4136e-09   3.0227e-07  -5.5583e-08  -2.8345e-08   3.8081e-10   3.8081e-10   5.0196e+08   5.0196e+08
